OrganizationName,Brooklyn,Bronx,Manhattan,Queens,Staten Island,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Youth Services,Faith-based organization,New York City Agency,Nonprofit,City
Hebrew Immigrant Aid Society (HIAS),Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,New York
Central Queens YM and YWHA,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,Forest Hills
Pride of Judea Community Services,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Douglaston
LIFT (Legal Information for Families Today),Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,New York
Lenox Hill Neighborhood House,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,NEW YORK
"Harlem Congregations for Community Improvement, Inc.",N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
AngelDocs,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Holliswood
"Groove With Me, Inc.",N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
United Community Centers,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
New York City Alliance Against Sexual Assault,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,New York
Grand Street Settlement,Y,N,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,New York
Arab-American Family Support Center,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,New York
Business Outreach Center Network,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Latin American Cultural Center of Queens,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Kew Gardens
Jewish Association for Services for the Aged (JASA),N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,Y,Rego Park
"Families First, Inc.",Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
The Legal Aid Society,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,New York
GS: Dreamyard Drama Project,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Bronx
Mount Sinai Sexual Assault and Violence Intervention Program,N,N,Y,Y,N,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,Y,New York
"Brighton Neighborhood Association, Inc.",Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,Y,Brooklyn
Jewish Community Council of Greater Coney Island,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Brooklyn
La Leche League of New York-East,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Yonkers
Northside Center for Child Development,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,New York
"Northern Manhattan Perinatal Partnership, Inc",N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Gilda's Club New York City,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
English Language Center at LaGuardia Community College,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Long Island City
Opportunities for a Better Tomorrow,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Ridgewood Bushwick Sister S.A.G.E.,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Brooklyn
Queensborough Community College - Center for Immigration,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Bayside
CODEPINK Women for Peace,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Queens Community House,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,Y,Forest Hills
NY Youth at Risk,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Ney York
Girls Quest,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"CAMBA, Inc.",Y,Y,N,N,Y,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Brooklyn
Equal Voice,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Korean American Family Service Center,N,N,Y,Y,N,N,N,N,N,Y,N,Y,N,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,Flushing
Institute for the Puerto Rican/Hispanic Elderly,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Elmhurst
Harlem RBI (Reviving Baseball in Inner Cities),N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Brooklyn Children's Museum,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
NYC Department of Transportation - Office of Safety Education,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,New York
Young Korean American Service & Education Center (YKASEC),N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Flushing
"Women's Project & Productions, Inc.",N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"Bailey House, Inc.",Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,New York
Jewish Board of Family and Children's Services,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,New York
St Stephens Outreach Inc.,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Good Orderly Directions House Incorporation,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
"Broadway Housing Communities, Inc.",N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,"New York,"
"Ifetayo Cultural Arts, Inc.",Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,BROOKLYN
"Community Health Action of Staten Island, Inc.",N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,Y,Staten Island
Diaspora Community Services,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,Brooklyn
YWCA of Brooklyn,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,N,Y,Brooklyn
"YM & YWHA of Washington Heights and Inwood, Inc.",N,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,New York
Connecting to Advantages,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,New York
NPower,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
The Brooklyn Young Mothers' Collective,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,Brooklyn
Aging in America,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Bronx
Henry Street Settlement Parent Center,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
World Music Institute (WMI),Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
SHARE: Self-Help for Women with Breast or Ovarian Cancer,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
League of Women Voters of the City of New York Education Fund,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Directions for Our Youth,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
STEPS to End Family Violence,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,New York
Planned Parenthood of New York City,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"Crime Victims Treatment Center, St. Luke's-Roosevelt Hospital Center",Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,New York
"South Bronx Action Group, Inc.",N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Bronx
Fresh Start Training Program,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
School Sisters of Notre Dame Educational Center,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Woodhaven
The Center for Anti-violence Education,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,Brooklyn
Northern Manhattan Improvement Corporation,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,New York
APICHA - Asian & Pacific Islander Coalition on HIV/AIDS,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Single Stop USA,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,New York
Henry Street Settlement Community Consultation Center,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,New York
Association of the Bar of the CIty of New York - Immigrant Women and Children Project,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,New York
Community Association of Progressive Dominicans (ACDP),N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,New York
Latin American Immigrant Association,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Woodside
Puerto Rican Institute for the Development of Education(PRIDE),N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Flushing
ChaRosa Foundation Corporation,N,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Cambria Heights
Saint Vincents Hospital Rape Crisis Program,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,New York
World Education Services,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,New York
The After-School Corporation,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,New York
Safe Horizon Manhattan Community Programs,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,New York
Maidstone Foundation [Family Support Service for Russians],N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Women's Business Center,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Kew Garden
GEMS Girls Educational and Mentoring Services,N,N,Y,N,N,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,New York
Child Center of New York,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,Woodside
Inwood House,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,New York
Lower East Side Family Union,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Youth Represent,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,New York
Safe Horizon Staten Island Rape Crisis Program,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Staten Island
Metropolitan Council on Jewish Poverty,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Safe Horizon Bronx Community Program,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Bronx
Emerald Isle Immigration Center,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Woodside
Women Builders Council,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Brooklyn
Asian Women In Business,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,New York
Lutheran Family Health Centers' Family Support Center,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Brooklyn
The Coalition for Debtor Education,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,New York
"Hispanic AIDS Forum, Inc.",N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,NY
"Catalyst, Inc.",N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Queens Independent Living Center,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Astoria
Fifth Avenue Committee,Y,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,BROOKLYN
Lesbian Cancer Initiative,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,New York
inMotion,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,New York
Safe Horizon,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,New York
Riverside Language Program,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,New York
Gay Men's Health Crisis,N,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,New York
Local Development Corporation of East New York,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Dress for Success Worldwide,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,New York
Cypress Hills Child Care Corporation,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Fedcap,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,New York
"T.O.P.S. FOR YOU, Inc.",Y,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Literacy Assistance Center,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,New York
"Children's Arts & Science Workshops, Inc.",N,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,New York
Susan G. Komen Breast Cancer Foundation,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Dominican Foundation CULTURARTE of New York,N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,Y,New York
"Hospital Audiences, Inc.",Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,New York
Good Shepherd Services,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,New York
African Services Committee,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,New York
Mercy Center,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Bronx
New York Road Runners Foundation,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"The Lesbian, Gay, Bisexual & Transgender Community Center",N,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,Y,New York
"The Nourishing Kitchen of New York City, Inc.",N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,New York
WET Productions,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
FEGS Center for Women and Families,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,New York
Brooklyn Chinese-American Association,Y,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,Y,Brooklyn
Latin American Integration Center,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Woodside
Dominican Women's Development Center,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,New York
Association to Benefit Children,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,New York
Immigration Advocacy Services (IAS),N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Astoria
Queensborough Community College - Continuing Education,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Bayside
"Simpson Street Development Association,Inc",N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Bronx
City Year New York,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
East Harlem Neighborhood Based Alliance Corporation,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,New York
Edwin Gould Services for Children and Families,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,New York
Lower Eastside Service Center/Outreach Program,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
THE BROTHERHOOD/SISTER SOL,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,NEW YORK
Wyckoff Heights Medical Center - Rape Crisis,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
The Young Women's Christian Association (YWCA) of Queens,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Flushing
Safe Horizon Queens Community Program,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Jackson Heights
Amethyst House,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Community Healthcare Network,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
The Salvation Army,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,New York
CASES: GirlRising,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,New York
International Center in New York,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,New York
Queens Library HealthLink,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Queens
Urban Resource Institute (URI),Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Puerto Rican Family Institute,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Elmhurst
The Committee for Hispanic Children and Families (CHCF),Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,New York
Jewish Child Care Association,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Chinatown Manpower Project,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,Y,New York
Single Mothers by Choice (SMC),Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"Inwood Community Services, Inc.",N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
The New York Center for Children,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,New York
Common Ground,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,Y,New York
Liberty Center for Immigrants,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Richmond Hill
National Council of Jewish Women New York Section,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"My Life My Soul, The Unspoken Journey of Life After Domestic Abuse",Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,New York
Elmcor Youth & Adult Activities,N,N,N,Y,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Corona
Queens Jewish Community Council (QJCC),N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Forest Hills
Day Care Council of New York Inc.,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
